id,town,rate2040,rate2013
14118,横浜市,0.29 ,0.29 
14137,川崎市,0.00 ,0.00 
14153,相模原市,4.17 ,1.39 
14201,横須賀市,0.00 ,0.00 
14203,平塚市,0.00 ,0.00 
14204,鎌倉市,0.00 ,0.00 
14205,藤沢市,0.00 ,0.00 
14206,小田原市,0.00 ,0.00 
14207,茅ヶ崎市,0.00 ,0.00 
14208,逗子市,0.00 ,0.00 
14210,三浦市,0.00 ,0.00 
14211,秦野市,0.00 ,0.00 
14212,厚木市,0.00 ,0.00 
14213,大和市,0.00 ,0.00 
14214,伊勢原市,10.00 ,0.00 
14215,海老名市,0.00 ,0.00 
14216,座間市,0.00 ,0.00 
14217,南足柄市,16.67 ,0.00 
14218,綾瀬市,0.00 ,0.00 
14301,三浦郡葉山町,0.00 ,0.00 
14321,高座郡寒川町,0.00 ,0.00 
14341,中郡大磯町,33.33 ,33.33 
14342,中郡二宮町,0.00 ,0.00 
14361,足柄上郡中井町,0.00 ,0.00 
14362,足柄上郡大井町,0.00 ,0.00 
14363,足柄上郡松田町,50.00 ,0.00 
14364,足柄上郡山北町,66.67 ,33.33 
14366,足柄上郡開成町,0.00 ,0.00 
14382,足柄下郡箱根町,0.00 ,0.00 
14383,足柄下郡真鶴町,0.00 ,0.00 
14384,足柄下郡湯河原町,0.00 ,0.00 
14401,愛甲郡愛川町,0.00 ,0.00 
14402,愛甲郡清川村,50.00 ,50.00 
15108,新潟市,1.75 ,0.88 
15202,長岡市,11.67 ,6.67 
15204,三条市,4.17 ,4.17 
15205,柏崎市,20.00 ,0.00 
15206,新発田市,8.33 ,4.17 
15208,小千谷市,12.50 ,12.50 
15209,加茂市,14.29 ,0.00 
15210,十日町市,31.82 ,18.18 
15211,見附市,25.00 ,12.50 
15212,村上市,5.00 ,5.00 
15213,燕市,0.00 ,0.00 
15216,糸魚川市,35.29 ,29.41 
15217,妙高市,10.00 ,0.00 
15218,五泉市,0.00 ,0.00 
15222,上越市,5.77 ,0.00 
15223,阿賀野市,0.00 ,0.00 
15224,佐渡市,33.33 ,12.50 
15225,魚沼市,0.00 ,0.00 
15226,南魚沼市,10.53 ,10.53 
15227,胎内市,0.00 ,0.00 
